СП802404248;3001073719;"Торговельний центр ""МЕТРО КЕШ ЕНД КЕРІ""";Україна, Iвано-Франкiвська обл., м. Івано-Франківськ, вул. Вовчинецька, буд. 225М;Юридична адреса:;м.Київ, пр-т.Петра Григоренка, 43;Магазин №27 Тел.0 (800) 501-401;ІД:32049199
СП802404424;3001073669;Торговий центр Метро Кеш енд Кері;Україна, Вiнницька обл., Вiнницький р-н, с. Зарванці, 0,5 км Хмельницького шосе, буд. 1;Юридична адреса:;м.Київ, пр-т.Петра Григоренка, 43;Магазин №21 Тел.0 (800) 501-401;ІД:32049199
СП802406990;3001073670;Торговий центр Метро Кеш енд Кері;Україна, Вiнницька обл., Вiнницький р-н, с. Зарванці, 0,5 км Хмельницького шосе, буд. 1;Юридична адреса:;м.Київ, пр-т.Петра Григоренка, 43;Магазин №21 Тел.0 (800) 501-401;ІД:32049199
СП802407606;3001073619;"Торговельний центр ""МЕТРО КЕШ ЕНД КЕРІ""";Україна, м. Київ, Голосіївський р-н, вул. Кільцева дорога №1-в;Юридична адреса:;м.Київ, пр-т.Петра Григоренка, 43;Магазин №11 Тел.0 (800) 501-401;ІД:32049199
